,year,week,statefips,new_case_rate,case_rate,new_death_rate,death_rate,new_test_rate,test_rate,new_vaccine_rate,vaccine_rate,fullvaccine_rate,booster_first_rate,hospitalized_rate
0,2020,01,15,,,,,,,,,,,0.0
1,2020,01,18,,,,,,,,,,,0.0
2,2020,01,27,,,,,,,,,,,0.0
3,2020,01,30,,,,,,,,,,,0.0
4,2020,01,37,,,,,,,,,,,0.0
5,2020,01,48,,,,,,,,,,,0.0
6,2020,02,15,,,,,,,,,,,0.0
7,2020,02,18,,,,,,,,,,,0.0
8,2020,02,27,,,,,,,,,,,0.0
9,2020,02,30,,,,,,,,,,,0.0
10,2020,02,37,,,,,,,,,,,0.0
11,2020,02,48,,,,,,,,,,,0.0
12,2020,03,1,,,,,,,,,,,
13,2020,03,2,,,,,,,,,,,
14,2020,03,4,,,,,,,,,,,
15,2020,03,5,,,,,,,,,,,
16,2020,03,6,,0.00253,,0.0,,,,,,,
17,2020,03,8,,,,,,,,,,,
18,2020,03,9,,,,,,,,,,,
19,2020,03,10,,,,,,,,,,,
20,2020,03,11,,,,,,,,,,,
21,2020,03,12,,,,,,,,,,,
22,2020,03,13,,,,,,,,,,,
23,2020,03,15,,,,,,,,,,,0.0
24,2020,03,16,,,,,,,,,,,
25,2020,03,17,0.0,0.007890000000000001,,0.0,,,,,,,
26,2020,03,18,,,,,,,,,,,0.0
27,2020,03,19,,,,,,,,,,,
28,2020,03,20,,,,,,,,,,,
29,2020,03,21,,,,,,,,,,,
30,2020,03,22,,,,,,,,,,,
31,2020,03,23,,,,,,,,,,,
32,2020,03,24,,,,,,,,,,,
33,2020,03,25,,,,,0.008863333333333334,0.021475,,,,,
34,2020,03,26,,,,,,,,,,,
35,2020,03,27,,,,,,,,,,,0.0
36,2020,03,28,,,,,,,,,,,
37,2020,03,29,,,,,,,,,,,
38,2020,03,30,,,,,,,,,,,0.0
39,2020,03,31,,,,,,,,,,,
40,2020,03,32,,,,,,,,,,,47.15
41,2020,03,33,,,,,,,,,,,
42,2020,03,34,,,,,,,,,,,
43,2020,03,35,,,,,,,,,,,
44,2020,03,36,,,,,,,,,,,
45,2020,03,37,,,,,,,,,,,0.0
46,2020,03,38,,,,,,,,,,,
47,2020,03,39,,,,,,,,,,,
48,2020,03,40,,,,,,,,,,,
49,2020,03,41,,,,,,,,,,,
50,2020,03,42,,,,,,,,,,,
51,2020,03,44,,,,,,,,,,,
52,2020,03,45,,,,,,,,,,,
53,2020,03,46,,,,,,,,,,,
54,2020,03,47,,,,,,,,,,,
55,2020,03,48,,,,,,,,,,,0.0
56,2020,03,49,,,,,,,,,,,
57,2020,03,50,,,,,,,,,,,
58,2020,03,51,,,,,,,,,,,
59,2020,03,53,0.0,0.0131,,0.0,,0.0,,,,,
60,2020,03,54,,,,,,,,,,,
61,2020,03,55,,,,,,,,,,,
62,2020,03,56,,,,,,,,,,,
63,2020,04,1,,,,,,,,,,,
64,2020,04,2,,,,,,,,,,,
65,2020,04,4,0.0,0.013700000000000002,,0.0,,,,,,,
66,2020,04,5,,,,,,,,,,,
67,2020,04,6,0.00105,0.004641428571428572,,0.0,,,,,,,
68,2020,04,8,,,,,,,,,,,
69,2020,04,9,,,,,,,,,,,
70,2020,04,10,,,,,,,,,,,
71,2020,04,11,,,,,,,,,,,
72,2020,04,12,,,,,,,,,,,
73,2020,04,13,,,,,,,,,,,
74,2020,04,15,,,,,,,,,,,0.0
75,2020,04,16,,,,,,,,,,,
76,2020,04,17,0.0005114285714285714,0.008854285714285714,,0.0,,,,,,,
77,2020,04,18,,,,,,,,,,,0.0
78,2020,04,19,,,,,,,,,,,
79,2020,04,20,,,,,,,,,,,0.0
80,2020,04,21,,,,,,,,,,,
81,2020,04,22,,,,,,,,,,,
82,2020,04,23,,,,,,,,,,,
83,2020,04,24,,,,,,,,,,,
84,2020,04,25,,0.0145,,0.0,0.004705714285714285,0.03718571428571429,,,,,
85,2020,04,26,,,,,,,,,,,
86,2020,04,27,,,,,,,,,,,0.0
87,2020,04,28,,,,,,,,,,,
88,2020,04,29,,,,,,,,,,,
89,2020,04,30,,,,,,,,,,,0.0
90,2020,04,31,,,,,,,,,,,
91,2020,04,32,,,,,,,,,,,12.429999999999998
92,2020,04,33,,,,,,,,,,,
93,2020,04,34,,,,,,,,,,,
94,2020,04,35,,,,,,,,,,,
95,2020,04,36,,,,,,,,,,,
96,2020,04,37,,,,,,,,,,,0.0
97,2020,04,38,,,,,,,,,,,
98,2020,04,39,,,,,,,,,,,
99,2020,04,40,,,,,,,,,,,
100,2020,04,41,,,,,,,,,,,
101,2020,04,42,,,,,,,,,,,
102,2020,04,44,,,,,,,,,,,
103,2020,04,45,,,,,,,,,,,
104,2020,04,46,,,,,,,,,,,
105,2020,04,47,,,,,,,,,,,
106,2020,04,48,,,,,,,,,,,0.0
107,2020,04,49,,,,,,,,,,,
108,2020,04,50,,,,,,,,,,,
109,2020,04,51,,,,,,,,,,,
110,2020,04,53,0.0,0.0131,,0.0,,0.0,,,,,
111,2020,04,54,,,,,,,,,,,0.0
112,2020,04,55,,,,,,,,,,,
113,2020,04,56,,,,,,,,,,,
114,2020,05,1,,,,,,,,,,,
115,2020,05,2,,,,,,,,,,,
116,2020,05,4,0.0,0.013700000000000002,,0.0,,,,,,,
117,2020,05,5,,,,,,,,,,,
118,2020,05,6,0.001344285714285714,0.011415714285714288,,0.0,,,,,,,0.0354
119,2020,05,8,,,,,,,,,,,
120,2020,05,9,,,,,,,,,,,
121,2020,05,10,,,,,,,,,,,
122,2020,05,11,,,,,,,,,,,
123,2020,05,12,,,,,,,,,,,
124,2020,05,13,,,,,,,,,,,
125,2020,05,15,,,,,,,,,,,0.0
126,2020,05,16,,,,,,,,,,,
127,2020,05,17,0.0006457142857142858,0.014828571428571429,,0.0,,,,,,,
128,2020,05,18,,,,,,,,,,,0.0
129,2020,05,19,,,,,,,,,,,
130,2020,05,20,,,,,,,,,,,0.0
131,2020,05,21,,,,,,,,,,,
132,2020,05,22,,,,,,,,,,,
133,2020,05,23,,,,,,,,,,,
134,2020,05,24,,,,,,,,,,,
135,2020,05,25,0.0,0.0145,,0.0,0.010648571428571429,0.08672857142857142,,,,,
136,2020,05,26,,,,,,,,,,,
137,2020,05,27,,,,,,,,,,,0.0
138,2020,05,28,,,,,,,,,,,
139,2020,05,29,,,,,,,,,,,
140,2020,05,30,,,,,,,,,,,0.0
141,2020,05,31,,,,,,,,,,,
142,2020,05,32,,,,,,,,,,,0.0
143,2020,05,33,,,,,,,,,,,
144,2020,05,34,,,,,,,,,,,
145,2020,05,35,,,,,,,,,,,
146,2020,05,36,,,,,,,,,,,
147,2020,05,37,,,,,,,,,,,0.0
148,2020,05,38,,,,,,,,,,,
149,2020,05,39,,,,,,,,,,,
150,2020,05,40,,,,,,,,,,,
151,2020,05,41,,,,,,,,,,,
152,2020,05,42,,,,,,,,,,,
153,2020,05,44,,,,,,,,,,,
154,2020,05,45,,,,,,,,,,,
155,2020,05,46,,,,,,,,,,,
156,2020,05,47,,,,,,,,,,,
157,2020,05,48,,,,,,,,,,,0.0
158,2020,05,49,,,,,,,,,,,
159,2020,05,50,,,,,,,,,,,
160,2020,05,51,,,,,,,,,,,
161,2020,05,53,0.0,0.0131,,0.0,,0.0,,,,,
162,2020,05,54,,,,,,,,,,,
163,2020,05,55,0.0,0.0172,,0.0,,,,,,,
164,2020,05,56,,,,,,,,,,,
165,2020,06,1,,,,,,,,,,,
166,2020,06,2,,,,,,,,,,,
167,2020,06,4,0.0,0.013700000000000002,,0.0,,,,,,,
168,2020,06,5,,,,,,,,,,,
169,2020,06,6,0.0003102857142857143,0.016271428571428572,,0.0,,,,,,,
170,2020,06,8,,,,,,,,,,,
171,2020,06,9,,,,,,,,,,,
172,2020,06,10,,,,,,,,,,,
173,2020,06,11,,,,,,,,,,,
174,2020,06,12,,,,,,,,,,,
175,2020,06,13,,,,,,,,,,,
176,2020,06,15,,,,,,,,,,,0.0
177,2020,06,16,,,,,,,,,,,
178,2020,06,17,0.0,0.015800000000000005,,0.0,,,,,,,
179,2020,06,18,,,,,,,,,,,0.0
180,2020,06,19,,,,,,,,,,,
181,2020,06,20,,,,,,,,,,,0.0007
182,2020,06,21,,,,,,,,,,,
183,2020,06,22,,,,,,,,,,,
184,2020,06,23,,,,,,,,,,,
