,year,week,statefips,month,day,spend_all,spend_aap,spend_acf,spend_aer,spend_apg,spend_durables,spend_nondurables,spend_grf,spend_gen,spend_hic,spend_hcs,spend_inpersonmisc,spend_remoteservices,spend_sgh,spend_tws,spend_retail_w_grocery,spend_retail_no_grocery,spend_all_incmiddle,spend_all_q1,spend_all_q2,spend_all_q3,spend_all_q4,provisional,date
0,2020,00,1,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
1,2020,00,2,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
2,2020,00,4,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
3,2020,00,5,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
4,2020,00,6,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
5,2020,00,8,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
6,2020,00,9,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
7,2020,00,10,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
8,2020,00,11,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
9,2020,00,12,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
10,2020,00,13,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
11,2020,00,15,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
12,2020,00,16,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
13,2020,00,17,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
14,2020,00,18,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
15,2020,00,19,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
16,2020,00,20,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
17,2020,00,21,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
18,2020,00,22,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
19,2020,00,23,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
20,2020,00,24,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
21,2020,00,25,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
22,2020,00,26,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
23,2020,00,27,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
24,2020,00,28,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
25,2020,00,29,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
26,2020,00,30,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
27,2020,00,31,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
28,2020,00,32,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
29,2020,00,33,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
30,2020,00,34,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
31,2020,00,35,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
32,2020,00,36,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
33,2020,00,37,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
34,2020,00,38,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
35,2020,00,39,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
36,2020,00,40,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
37,2020,00,41,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
38,2020,00,42,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
39,2020,00,44,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
40,2020,00,45,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
41,2020,00,46,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
42,2020,00,47,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
43,2020,00,48,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
44,2020,00,49,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
45,2020,00,50,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
46,2020,00,51,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
47,2020,00,53,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
48,2020,00,54,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
49,2020,00,55,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
50,2020,00,56,1.0,3.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-03 00:00:00
51,2020,01,1,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
52,2020,01,2,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
53,2020,01,4,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
54,2020,01,5,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
55,2020,01,6,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
56,2020,01,8,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
57,2020,01,9,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
58,2020,01,10,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
59,2020,01,11,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
60,2020,01,12,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
61,2020,01,13,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
62,2020,01,15,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
63,2020,01,16,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
64,2020,01,17,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
65,2020,01,18,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
66,2020,01,19,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
67,2020,01,20,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
68,2020,01,21,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
69,2020,01,22,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
70,2020,01,23,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
71,2020,01,24,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
72,2020,01,25,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
73,2020,01,26,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
74,2020,01,27,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
75,2020,01,28,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
76,2020,01,29,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
77,2020,01,30,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
78,2020,01,31,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
79,2020,01,32,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
80,2020,01,33,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
81,2020,01,34,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
82,2020,01,35,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
83,2020,01,36,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
84,2020,01,37,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
85,2020,01,38,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
86,2020,01,39,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
87,2020,01,40,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
88,2020,01,41,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
89,2020,01,42,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
90,2020,01,44,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
91,2020,01,45,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
92,2020,01,46,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
93,2020,01,47,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
94,2020,01,48,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
95,2020,01,49,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
96,2020,01,50,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
97,2020,01,51,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
98,2020,01,53,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
99,2020,01,54,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
100,2020,01,55,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
101,2020,01,56,1.0,9.0,,,,,,,,,,,,,,,,,,,,,,,0,2020-01-09 00:00:00
102,2020,02,1,1.0,16.0,0.008147142857142856,0.056285714285714286,0.012137142857142857,0.09645714285714287,0.021211428571428572,-0.008227142857142858,-0.007802285714285714,-0.018434,-0.02014142857142857,-0.02415142857142857,0.008661142857142857,0.006696142857142857,0.08360000000000001,-0.003738571428571429,-0.0001785714285714285,-0.005135714285714286,0.0008471428571428573,0.006355714285714286,0.007707142857142857,0.019991571428571425,-0.013831428571428573,0.01966714285714286,0,2020-01-16 00:00:00
103,2020,02,2,1.0,16.0,-0.0060490000000000006,-0.10185714285714284,-0.03684285714285714,0.031214285714285722,-0.11947142857142855,-0.004671428571428574,-0.04645714285714286,-0.016977142857142857,-0.1524285714285714,0.01884428571428572,0.5969,-0.031517142857142855,-0.015712857142857143,0.08545714285714286,0.01505,-0.04164285714285714,-0.05565714285714285,-0.056272857142857145,,-0.03985714285714286,-0.059092857142857134,0.006991428571428571,0,2020-01-16 00:00:00
104,2020,02,4,1.0,16.0,0.012711428571428571,0.003274285714285715,-0.0007657142857142855,-0.03614428571428572,-0.011225714285714285,0.0017742857142857144,-0.006087714285714286,-0.006171428571428572,-0.020387142857142857,-0.011541428571428572,-0.007564285714285713,0.0037671428571428574,0.036288571428571434,0.000473142857142857,0.045817142857142855,-0.0017809000000000002,-0.0001075714285714286,0.015714285714285715,0.011234285714285714,0.018919142857142857,0.012232571428571428,0.007561428571428572,0,2020-01-16 00:00:00
105,2020,02,5,1.0,16.0,0.007228571428571429,0.008385714285714286,0.020904285714285716,0.0881857142857143,0.025704714285714286,0.0047771428571428565,0.01900571428571429,-0.0037964285714285717,0.04178571428571428,-0.05664285714285714,0.09231428571428571,0.09088571428571428,0.012699999999999998,0.0864,0.014499999999999999,0.017345857142857142,0.035691428571428575,0.015441428571428573,-0.006305714285714285,0.01263857142857143,0.026804285714285715,-0.05729571428571429,0,2020-01-16 00:00:00
106,2020,02,6,1.0,16.0,0.009453428571428573,0.011397285714285716,0.0031752857142857143,-0.015452857142857143,0.005289,0.009511428571428572,0.0019228571428571435,-0.002886285714285714,0.005074285714285714,-0.026100000000000005,0.01302857142857143,0.012164285714285714,0.014741428571428572,0.03640714285714286,0.0037649999999999997,0.006036142857142857,0.009102857142857143,0.005097142857142857,0.007322857142857143,0.0033551428571428573,0.006001142857142858,0.012252857142857143,0,2020-01-16 00:00:00
107,2020,02,8,1.0,16.0,0.014782857142857144,0.017228571428571426,0.014199999999999999,0.03534285714285714,0.02021571428571428,0.015349857142857143,0.0034947142857142863,-0.015797142857142857,0.05792714285714286,0.0021142857142857144,-0.029795857142857145,0.014144,0.04134585714285714,0.007594285714285715,-0.004778571428571429,0.01259857142857143,0.024878285714285714,0.0017150000000000002,0.017772857142857142,0.008571504285714288,-0.0015930000000000002,0.027914285714285718,0,2020-01-16 00:00:00
